sampleID,latitude,longitude,elevation,standingWaterDepth,temp,litterDepth,sampleTopDepth,sampleBottomDepth,siteID,nlcdClass,collectDate,sampleExtent,soilSamplingDevice,soilMoisture,dryMassFraction,horizon,ph,soilInCaClpH,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,kclAmmoniumNConc,kclNitrateNitriteNConc,ExpID,source,sample_subgroup,sample_group,project,doi,aquaticSiteType,samplerType,do,do_sat,specificConductance_field,maxDepth,lakeSampleDepth1,lakeSampleDepth2,alkMeqPerL_ALK,initialSamplepH_ALK,ancMeqPerL_ANC,initialSamplepH_ANC,br,ca,cl,dic,doc,f,k,mg,na,so4,TDN,TDP,tds,TN,TOC,TP,TPC,TPN,TSS,TSS - Dry Mass,UV Absorbance (254 nm),UV Absorbance (280 nm),spc,habitatType,dominantHabitat,algalSampleType,benthicArea,substratumSizeClass,carbon,chlorophyll a,d13C,d34S,nitrogen,pheophytin,phosphorus,sulfur,total chlorophyll a,fe,mn,si,nh4,no2,no3,po4,surface_subsurface
WOOD_024-M-20180725-COMP,47.151171,-99.262648,586.6,14.333333333333334,,,0.0,30.0,WOOD,emergentHerbaceousWetlands,2018-07-25T17:29Z|2018-07-25T16:33Z|2018-07-25T16:05Z,maximum,sediment sampler,1.790333333333333,0.3683333333333333,M,7.93245156516199,7.694396114997031,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
UNDE_043-M-20200804-COMP,46.234247,-89.542459,525.7,0.0,14.0,1.3,0.0,30.833333333333332,UNDE,deciduousForest,2020-08-04T14:55Z|2020-08-04T14:25Z|2020-08-04T14:03Z,maximum,corer,0.263,0.7923333333333332,M,5.185804941403007,4.303983417986596,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
UNDE_038-O-20200804-COMP,46.232249,-89.53457299999998,505.5,1.6666666666666667,14.566666666666668,3.4000000000000004,0.0,21.8,UNDE,woodyWetlands,2020-08-04T14:57Z|2020-08-04T14:06Z|2020-08-04T15:05Z,entire|maximum,brownie cutter,9.073666666666666,0.1949999999999999,O,3.99,3.21,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
UNDE_037-O-20200804-COMP,46.231276,-89.541941,524.4,12.5,14.5,4.4,0.0,18.950000000000003,UNDE,mixedForest,2020-08-04T16:08Z|2020-08-04T17:11Z,entire|maximum,brownie cutter,4.691000000000001,0.267,O,4.119972735170097,3.348562453765896,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
UNDE_001-M-20200804-COMP,46.234625,-89.560771,523.7,0.0,14.466666666666669,2.0,0.0,30.666666666666668,UNDE,deciduousForest,2020-08-04T17:13Z|2020-08-04T16:27Z|2020-08-04T16:17Z,maximum,corer,0.3343333333333333,0.7616666666666666,M,4.989669616171071,4.173196893343766,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
UNDE_037-M-20200804-COMP,46.231276,-89.541941,524.4,0.0,14.5,5.0,0.0,30.2,UNDE,mixedForest,2020-08-04T16:31Z,maximum,corer,0.497,0.668,M,5.01,4.16,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
UNDE_002-O-20200804-COMP,46.243102,-89.544805,504.3999999999999,4.333333333333333,16.133333333333333,0.0,0.0,29.666666666666668,UNDE,woodyWetlands,2020-08-04T19:13Z|2020-08-04T18:42Z|2020-08-04T19:53Z,maximum,brownie cutter,12.574333333333334,0.0743333333333333,O,4.554013827341264,3.709808554571065,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
UNDE_003-M-20200806-COMP,46.256247,-89.53609,504.8,0.0,15.0,3.1,0.0,30.2,UNDE,woodyWetlands,2020-08-06T13:38Z,maximum,corer,0.337,0.748,M,5.22,4.41,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
UNDE_003-O-20200806-COMP,46.256247,-89.53609,504.8,0.0,14.05,2.1,0.0,16.3,UNDE,woodyWetlands,2020-08-06T14:43Z|2020-08-06T14:03Z,maximum|entire,brownie cutter,5.880000000000001,0.2319999999999999,O,5.157432631635035,4.497966258236723,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
UNDE_008-M-20200806-COMP,46.256193,-89.51505200000001,514.8,0.0,15.533333333333331,3.033333333333333,0.0,31.166666666666668,UNDE,mixedForest,2020-08-06T14:42Z|2020-08-06T14:11Z|2020-08-06T15:06Z,maximum,corer,0.2063333333333333,0.8293333333333334,M,5.16854210424669,4.306816118654685,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
