records,SRA_sample,biosample,ExpID,study_group,latitude,longitude,sample_name,Read_count_post_fastp,sequencing_technology,sample_type,cc_score,location1,location2,location3,location4,site_name,geotype1,geotype2,geotype3,tectonics1,tectonics2,tectonics3,tectonics4,magma_fo2,aersub1,aersub2,macrostrat_ID,macrostrat,macrostrat_type,macrostrat_siplified_type,mindat_id,locality_name,mindat_lat,mindat_long,distance_to_mindat_km,mineral_list_csv,altitude,temp,sal,ph,eh,toc,tn,dic,doc,ch4,h2,o2,rc_ra,f_aq,cl_aq,so4,h2s,br_aq,no_3,no2,nh4,po4_3,na_aq,k_aq,mg_aq,ca_aq,Li_aq,B_aq,K_aq,Ca_aq,Fe_aq,Zn_aq,As_aq,Rb_aq,cd,cu,co,fe,mn,mo,ni,v,zn,ag,al,ba,be,ce,cr,cs,ga,eu,gd,hf,la,li,pb,rb,sc,sn,sr,th,ti,tl,u,w,y,zr,database_solid,database_soli_id,material,rock_type,sample_name.1,lat_d,long_d,major_sum,sio2_d,tio2_d,al2o3_d,fe2o3_d,feo_d,FEOt_d,mno_d,mgo_d,cao_d,na2o_d,k2o_d,bao_d,p2o5_d,cu_d,co_d,mo_d,ni_d,v_d,zn_d,ba_d,be_d,ce_d,cr_d,dy_d,er_d,eu_d,ga_d,gd_d,hr_d,ho_d,la_d,li_d,lu_d,nb_d,nd_d,pb_d,pr_d,rb_d,sc_d,sm_d,sn_d,sr_d,ta_d,tb_d,th_d,ti_d,tl_d,u_d,w_d,y_d,yb_d,zr_d,si_o2,ti_o2,al2_o3,fe_ot,fe_o,fe2_o3,mn_o,mg_o,ca_o,na2_o,k2_o,p2_o5,CT,SedThic_Oc,SedThic_On,DistCoast,Time_rift,DSub,DMOR,DHS,DV,HF,PV,SR,slab_name,SDepth,SDip,ConvR,ConvAge,elevation,DOT,DCS,DMUSGS,DEQ,ConShelf,ConvObl,DPM,SfA
SRR2239652,SRS1054264,SAMN03797534,SRA,30.0,41.86,-8.11,LLHS,5625431.0,Illumina HiSeq 2000,fluid,44.51525381,Europe,Spain,Galicia,Ourense,Lobios Hot Spring,spring,hot_spring,hot_spring,intraplate,faults,continental faults,,,aerial,aerial,3148273.0,granite,igneous,granite,261220.0,Salto Do Lobo - Corgas Das Negras E Lamalonga Mines,41.8108333,-8.0391667,9.55696193,"Arsenopyrite,Cassiterite,Fluorite,Molybdenite,Quartz,Scheelite",433.0,76.0,,8.2,,,,,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EarthChem,ORV-26,whole_rock,"IGNEOUS, VOLCANIC, FELSIC, RHYOLITE",ORV-26,42.0855,-7.5307,93.41943,71.61,0.47,15.52,3.0,,2.69943,0.03,0.64,0.16,2.13,5.43,,0.16,20.0,9.0,,14.0,60.0,48.0,658.0,,46.35,71.0,5.59,3.07,0.8,22.0,4.96,,1.06,22.7,,0.39,12.0,22.38,38.0,5.81,242.0,,4.94,,,0.73,0.87,10.1,,,5.0,,27.0,2.77,85.0,71.0227778,0.305875,14.405,1.08777778,1.415,2.393793324,0.04922222,0.65127778,1.79277778,3.77888889,4.32888889,0.24788889,30.8886572,,125.966,67.70694189,,1607.690779,1619.240102,1257.853255,480.4248897,58.19040458,2.433613628,,,,,,,563.990388,1619.381724,,754.7330358,587.1767742,,,290.7593652,
SRR3439968,SRS1411981,SAMN04901559,SRA,37.0,25.44,98.44,1-87,3780993.0,Illumina HiSeq 2000,,14.83757332,Asia,China,YunNA province,Tengchong hot springs,Gongxiaoshe hot spring,spring,hot_spring,hot_spring,intraplate,hotspot,continental hotspot,,oxidized,aerial,aerial,3192131.0,sedimentary,sedimentary,sedimentary,155457.0,Xiaolonghe Sn Deposit,25.45,98.4333333,0.7590388,"Cassiterite,Magnetite,Muscovite,Pyrite,Quartz,Topaz",2524.0,73.8,1.449,7.29,,0.44,3e-05,,0.125,,,,5.2,12.9,92.8,2.1,0.0,,0.05,0.05,0.1,,418.5,45.9,3.35,9.2,,,,,,,,,,7e-05,,0.175,0.0103,0.000153,0.00028,0.000366,0.00371,,,0.51,0.00287,9e-06,0.00012,0.49,0.0003,4.5e-05,,,1.2e-05,,6.9e-05,0.303,,,0.55,3.6e-05,,0.00094,,0.056,2.4e-05,4.2e-05,EarthChem,CZ08-1,whole_rock,"TRACHYANDESITE, BASALTIC",CZ08-1,25.2352,98.5223,97.55,54.03,1.35,16.87,2.13,5.18,7.0965953,0.13,5.91,6.46,3.84,3.23,,0.55,28.99,27.05,,84.32,139.1,76.77,982.1,,124.3,115.2,4.84,2.6,1.93,,6.66,,0.98,69.27,,0.35,32.3,47.76,13.89,13.41,86.42,20.13,7.93,,705.6,1.86,0.91,21.4,,,2.46,,25.48,2.46,224.2,,,,,,,,,,,,,40.26886259,,14.0582,758.7742921,,1459.29617,1163.116997,16.63584605,24.0472108,81.59077148,2.585708703,,,,,,,1741.60864,1188.054784,,24.57337473,6.781192064,,,1001.214852,
SRR3440026,SRS1411988,SAMN04901560,SRA,37.0,25.44,98.44,6-505,3714331.0,Illumina HiSeq 2000,,30.24481469,Asia,China,YunNA province,Tengchong hot springs,Gongxiaoshe hot spring,spring,hot_spring,hot_spring,intraplate,hotspot,continental hotspot,,oxidized,aerial,aerial,3192131.0,sedimentary,sedimentary,sedimentary,155457.0,Xiaolonghe Sn Deposit,25.45,98.4333333,0.7590388,"Cassiterite,Magnetite,Muscovite,Pyrite,Quartz,Topaz",2524.0,73.8,1.449,7.29,,0.44,3e-05,,0.125,,,,5.2,12.9,92.8,2.1,0.0,,0.05,0.05,0.1,,418.5,45.9,3.35,9.2,,,,,,,,,,7e-05,,0.175,0.0103,0.000153,0.00028,0.000366,0.00371,,,0.51,0.00287,9e-06,0.00012,0.49,0.0003,4.5e-05,,,1.2e-05,,6.9e-05,0.303,,,0.55,3.6e-05,,0.00094,,0.056,2.4e-05,4.2e-05,EarthChem,CZ08-1,whole_rock,"TRACHYANDESITE, BASALTIC",CZ08-1,25.2352,98.5223,97.55,54.03,1.35,16.87,2.13,5.18,7.0965953,0.13,5.91,6.46,3.84,3.23,,0.55,28.99,27.05,,84.32,139.1,76.77,982.1,,124.3,115.2,4.84,2.6,1.93,,6.66,,0.98,69.27,,0.35,32.3,47.76,13.89,13.41,86.42,20.13,7.93,,705.6,1.86,0.91,21.4,,,2.46,,25.48,2.46,224.2,,,,,,,,,,,,,40.26886259,,14.0582,758.7742921,,1459.29617,1163.116997,16.63584605,24.0472108,81.59077148,2.585708703,,,,,,,1741.60864,1188.054784,,24.57337473,6.781192064,,,1001.214852,
SRR3961733,SRS1589160,SAMN05449938,SRA,8.0,22.65,78.36,CAP,19554880.0,NextSeq 500,fluid,3.471814203,Asia,India,Central_India,Chhoti Anhoni,Chhoti Anhoni Petroleum Borehole,spring,deep_well,hot_spring,intraplate,rift,continental rift,,mild_reduced,aerial,aerial,3190865.0,sedimentary,sedimentary,sedimentary,218838.0,Khairi,22.9075,78.7616667,45.0227403,Quartz,2316.0,52.1,0.558,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EarthChem,10B,whole_rock,"IGNEOUS,VOLCANIC,MAFIC,THOLEIITE",10B,22.3-22.5,78.5-78.75,100.26,50.73,3.01,12.9,,,15.12,0.23,5.08,10.08,2.47,0.35,,0.29,269.0,,,47.0,415.0,132.0,,,47.96,71.0,7.72,4.67,2.28,24.0,8.55,,1.58,20.35,,0.57,17.0,28.63,,,12.0,35.0,7.3,,222.0,,,,,,,,40.0,3.62,19.0,,,,,,,,,,,,,40.43004708,,10.0,562.4465817,,1753.489867,2075.658291,2068.553626,1386.022229,69.601527,5.485547635,,,,,,,378.925,2075.658291,,42.51919316,179.0482939,,,795.8510255,
SRR3961734,SRS1589161,SAMN05449939,SRA,7.0,22.65,78.36,BAN,15622317.0,NextSeq 500,fluid,2.460030601,Asia,India,Central_India,Badi Anhoni,Badi Anhoni hot spring,spring,hot_spring,hot_spring,intraplate,rift,continental rift,,mild_reduced,aerial,aerial,3190865.0,sedimentary,sedimentary,sedimentary,218838.0,Khairi,22.9075,78.7616667,45.0227403,Quartz,1760.0,55.0,0.624,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EarthChem,10B,whole_rock,"IGNEOUS,VOLCANIC,MAFIC,THOLEIITE",10B,22.3-22.5,78.5-78.75,100.26,50.73,3.01,12.9,,,15.12,0.23,5.08,10.08,2.47,0.35,,0.29,269.0,,,47.0,415.0,132.0,,,47.96,71.0,7.72,4.67,2.28,24.0,8.55,,1.58,20.35,,0.57,17.0,28.63,,,12.0,35.0,7.3,,222.0,,,,,,,,40.0,3.62,19.0,,,,,,,,,,,,,40.43004708,,10.0,562.4465817,,1753.489867,2075.658291,2068.553626,1386.022229,69.601527,5.485547635,,,,,,,378.925,2075.658291,,42.51919316,179.0482939,,,795.8510255,
SRR3961739,SRS1589167,SAMN05449940,SRA,8.0,22.65,78.36,CAN,15400199.0,NextSeq 500,fluid,0.07752029373,Asia,India,Central_India,Chhoti Anhoni,Chhoti Anhoni hot spring,spring,hot_spring,hot_spring,intraplate,rift,continental rift,,mild_reduced,aerial,aerial,3190865.0,sedimentary,sedimentary,sedimentary,218838.0,Khairi,22.9075,78.7616667,45.0227403,Quartz,2316.0,43.5,0.53,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EarthChem,10B,whole_rock,"IGNEOUS,VOLCANIC,MAFIC,THOLEIITE",10B,22.3-22.5,78.5-78.75,100.26,50.73,3.01,12.9,,,15.12,0.23,5.08,10.08,2.47,0.35,,0.29,269.0,,,47.0,415.0,132.0,,,47.96,71.0,7.72,4.67,2.28,24.0,8.55,,1.58,20.35,,0.57,17.0,28.63,,,12.0,35.0,7.3,,222.0,,,,,,,,40.0,3.62,19.0,,,,,,,,,,,,,40.43004708,,10.0,562.4465817,,1753.489867,2075.658291,2068.553626,1386.022229,69.601527,5.485547635,,,,,,,378.925,2075.658291,,42.51919316,179.0482939,,,795.8510255,
SRR3961740,SRS1589162,SAMN05449941,SRA,6.0,23.41,83.39,TAT-1,3944227.0,NextSeq 500,fluid,0.1189460167,Asia,India,Central_India,Tattapani Hot Spring,Tattapani hot spring Site-1,spring,hot_spring,hot_spring,intraplate,rift,continental rift,,mild_reduced,aerial,aerial,3191338.0,metamorphic,metamorphic,granite,239349.0,Rannu,24.1422222,83.2236111,20.792973,Kornerupine,1900.0,98.0,0.805,7.5,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EarthChem,M-51,whole_rock,METAMORPHIC,M-51,24.3866,82.8853,97.1847815,68.26,0.37,17.5,1.15,,1.0347815,0.04,3.68,1.25,0.15,4.88,,0.02,,2.3,,38.0,58.0,,300.0,,158.0,49.0,4.8,2.6,0.71,,8.9,,0.96,86.0,,0.49,19.0,59.0,,16.0,113.0,5.0,11.0,,49.0,1.7,1.1,35.0,,,8.3,,26.0,3.01,13922.0,71.0227778,0.305875,14.405,1.08777778,1.415,2.393793324,0.04922222,0.65127778,1.79277778,3.77888889,4.32888889,0.24788889,39.42118234,,102.689,429.1622704,,1409.980339,1652.317267,1546.583745,1208.057812,77.23171365,5.585960888,,,,,,,609.995389,1652.317267,,215.1602934,344.6210583,,,506.9171441,
SRR3961741,SRS1589163,SAMN05449942,SRA,6.0,23.41,83.39,TAT-2,3343538.0,NextSeq 500,fluid,0.06295608889,Asia,India,Central_India,Tattapani Hot Spring,Tattapani hot spring Site-2,spring,hot_spring,hot_spring,intraplate,rift,continental rift,,mild_reduced,aerial,aerial,,metamorphic,metamorphic,granite,239349.0,Rannu,24.1422222,83.2236111,20.792973,Kornerupine,1900.0,61.5,0.54,7.6,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EarthChem,M-51,whole_rock,METAMORPHIC,M-51,24.3866,82.8853,97.1847815,68.26,0.37,17.5,1.15,,1.0347815,0.04,3.68,1.25,0.15,4.88,,0.02,,2.3,,38.0,58.0,,300.0,,158.0,49.0,4.8,2.6,0.71,,8.9,,0.96,86.0,,0.49,19.0,59.0,,16.0,113.0,5.0,11.0,,49.0,1.7,1.1,35.0,,,8.3,,26.0,3.01,13922.0,71.0227778,0.305875,14.405,1.08777778,1.415,2.393793324,0.04922222,0.65127778,1.79277778,3.77888889,4.32888889,0.24788889,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3961742,SRS1589165,SAMN05449943,SRA,6.0,23.41,83.39,TAT-3,4336662.0,NextSeq 500,fluid,7.97571861,Asia,India,Central_India,Tattapani Hot Spring,Tattapani hot spring Site-3,spring,hot_spring,hot_spring,intraplate,rift,continental rift,,mild_reduced,aerial,aerial,3191338.0,metamorphic,metamorphic,granite,239349.0,Rannu,24.1422222,83.2236111,20.792973,Kornerupine,1900.0,69.0,0.633,7.0,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EarthChem,M-51,whole_rock,METAMORPHIC,M-51,24.3866,82.8853,97.1847815,68.26,0.37,17.5,1.15,,1.0347815,0.04,3.68,1.25,0.15,4.88,,0.02,,2.3,,38.0,58.0,,300.0,,158.0,49.0,4.8,2.6,0.71,,8.9,,0.96,86.0,,0.49,19.0,59.0,,16.0,113.0,5.0,11.0,,49.0,1.7,1.1,35.0,,,8.3,,26.0,3.01,13922.0,71.0227778,0.305875,14.405,1.08777778,1.415,2.393793324,0.04922222,0.65127778,1.79277778,3.77888889,4.32888889,0.24788889,39.42118234,,102.689,429.1622704,,1409.980339,1652.317267,1546.583745,1208.057812,77.23171365,5.585960888,,,,,,,609.995389,1652.317267,,215.1602934,344.6210583,,,506.9171441,
SRR3961743,SRS1589166,SAMN05449944,SRA,6.0,23.41,83.39,TAT-4,2530582.0,NextSeq 500,fluid,0.9230071147,Asia,India,Central_India,Tattapani Hot Spring,Tattapani hot spring Site-4,spring,hot_spring,hot_spring,intraplate,rift,continental rift,,mild_reduced,aerial,aerial,3191338.0,metamorphic,metamorphic,granite,239349.0,Rannu,24.1422222,83.2236111,20.792973,Kornerupine,1900.0,67.0,0.633,7.8,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EarthChem,M-51,whole_rock,METAMORPHIC,M-51,24.3866,82.8853,97.1847815,68.26,0.37,17.5,1.15,,1.0347815,0.04,3.68,1.25,0.15,4.88,,0.02,,2.3,,38.0,58.0,,300.0,,158.0,49.0,4.8,2.6,0.71,,8.9,,0.96,86.0,,0.49,19.0,59.0,,16.0,113.0,5.0,11.0,,49.0,1.7,1.1,35.0,,,8.3,,26.0,3.01,13922.0,71.0227778,0.305875,14.405,1.08777778,1.415,2.393793324,0.04922222,0.65127778,1.79277778,3.77888889,4.32888889,0.24788889,39.42118234,,102.689,429.1622704,,1409.980339,1652.317267,1546.583745,1208.057812,77.23171365,5.585960888,,,,,,,609.995389,1652.317267,,215.1602934,344.6210583,,,506.9171441,
SRR4030098,SRS1616306,SAMN05518655,SRA,18.0,44.5,-110.75,T=80-84,16565690.0,Illumina HiSeq 2000,biofilm,0.1356683889,North_America,USA,YNP,Lower Geyser Basin,Octopus Spring,spring,hot_spring,hot_spring,intraplate,hotspot,continental hotspot,,reduced,aerial,aerial,958230.0,felsic,igneous,granite,248602.0,Upper Geyser Basin,44.4641667,-110.82917,8.91581052,"Gyrolite,Truscottite",2238.0,90.5,0.668,8.04,-0.0785,,,14.7,0.1167,,,0.0,7.7,22.7485,246.1986,17.5914,0.0236,0.7904,0.063,,0.04179,,276.03,15.4185,0.011,0.765,,,,,,,,,0.0001,0.001,5.0,,0.003,,,,0.002,,0.243,,0.002,,,,,,,,,3.2514,0.001,,,,0.001,,,,,,,,EarthChem,YL96-13,whole_rock,"IGNEOUS,VOLCANIC,FELSIC,RHYOLITE",YL96-13,44.4431,-110.7189,97.8346732,75.9,0.157,11.7,1.72,,1.5476732,0.03,0.0,0.39,3.17,4.9,,0.04,,,,,,,335.0,,,,,,,,,,,,,,53.0,,,,174.0,,,,18.0,,,,,,,,52.0,,264.0,71.0227778,0.305875,14.405,1.08777778,1.415,2.393793324,0.04922222,0.65127778,1.79277778,3.77888889,4.32888889,0.24788889,42.03515568,,8.71882,946.7315407,,1160.122185,792.1727905,59.03807735,10.01644248,97.39982891,1.810644582,,,,,,,2583.75,1283.902061,,20.37048638,22.56534731,,,1891.000587,
SRR4030101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR4030102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR4453772,SRS1761834,SAMN03859986,SRA,55.0,-21.9892,-176.568,2044C,86179201.0,Illumina HiSeq 2500,rock,0.06804417831,Pacific_Ocean,Lau_Basin,Lau_Basin,Tu’i Malila vent field,Tu’i Malila vent field,vent,deep_vent,deep_vent,plate margin,convergent,oceanic_subduction,,oxidized,subaerial,subaerial_saltwater,,basalt,igneous,basalt,310030.0,Mariner Vent Field,-22.181944,-176.60056,21.6982325,"Chalcopyrite,Fluorite,Molysite,Periclase,Pyrite,Sphalerite,Sulphur,Troilite",-1876.0,11.3,,6.2,,,,,,,,0.38,11.0,,,,0.0265,,,,,,,,,,,,,,0.1061,0.0196,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORB,BLAU9,whole_rock,BASALT,BLAU9,-21.04,-176.259,98.33,53.78,1.61,14.06,,,12.74,0.22,4.19,8.43,2.88,0.25,,0.17,66.0,37.2,0.4,25.0,372.0,100.9,58.1,0.46,8.97,34.0,5.47,3.51,1.12,16.6,4.52,,1.22,2.82,8.1,0.56,1.25,8.81,1.0,1.59,3.88,36.3,3.06,0.76,127.0,0.09,0.81,0.178,1.34,0.042,0.077,0.07,34.5,3.55,78.8,47.96333335,1.738333335,15.28833335,3.680833335,6.975,10.28705064,0.173166665,7.475,10.05333335,2.664166665,0.836666665,0.364916665,10.44951868,162.630641,0.0,160.1401161,,236.7423075,2.507100725,1189.828416,116.515802,65.81102945,5.235740415,22.81014184,ker,-111.2217636,45.35737991,11.12968159,70.51502228,-2021.747482,211.2572016,4.041479379,3124.4595,14.73537359,,-26.01613617,77.95554904,0.1055919112
SRR5189948,SRS1930051,SAMN06226864,SRA,54.0,18.902,-155.257,Marker 39,26658946.0,Illumina MiSeq,biofilm,0.1572932519,Pacific_Ocean,Loihi_Seamount,Loihi_Seamount,Marker 39,Marker 39,vent,deep_vent,deep_vent,intraplate,hotspot,oceanic hotspot,,reduced,subaerial,subaerial_saltwater,,basalt,igneous,basalt,16696.0,Lo'ihi Seamount,18.9,-155.25,0.80414063,"Bornite,Nontronite,Pyrite,Sphalerite",-1300.0,33.0,,5.5,,,,,,,,0.25,35.0,,,,7.5,,,0.01085718,0.05469425,0.25813118,,,,,,,,,,,,,,,,2.579808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EarthChem,1804-19,whole_rock,"IGNEOUS,VOLCANIC,MAFIC,BASALT",1804-19,18.95,-155.27,99.19,48.73,3.76,13.82,,,12.75,0.2,5.17,10.21,3.33,0.88,,0.34,100.0,41.0,,50.0,435.0,139.0,227.0,,54.8,46.0,8.07,4.01,2.45,,7.6,,1.25,22.9,,0.45,23.44,32.1,,7.08,16.82,25.0,8.81,,509.0,1.64,1.44,1.61,,,0.46,,37.04,3.02,213.0,47.96333335,1.738333335,15.28833335,3.680833335,6.975,10.28705064,0.173166665,7.475,10.05333335,2.664166665,0.836666665,0.364916665,11.70939583,69.73287297,0.0,44.5388357,,3757.170715,3579.18816,29.14813101,4.162400807,57.46485912,7.035161691,63.33257681,,,,,,-1344.568817,3579.18816,,3786.14736,45.03317954,,,4454.718136,90.79949389
SRR5189952,SRS1930053,SAMN06226860,SRA,54.0,18.903,-155.257,Marker 57,146045612.0,Illumina HiSeq 2000,biofilm,0.1074259981,Pacific_Ocean,Loihi_Seamount,Loihi_Seamount,Marker 57,Marker 57,vent,deep_vent,deep_vent,intraplate,hotspot,oceanic hotspot,,reduced,subaerial,subaerial_saltwater,,basalt,igneous,basalt,16696.0,Lo'ihi Seamount,18.9,-155.25,0.83524293,"Bornite,Nontronite,Pyrite,Sphalerite",-1178.0,25.6,,5.5,,,,,,,,0.4,35.0,,,,3.0,,,0.0,0.03780974,0.35718593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EarthChem,1804-19,whole_rock,"IGNEOUS,VOLCANIC,MAFIC,BASALT",1804-19,18.95,-155.27,99.19,48.73,3.76,13.82,,,12.75,0.2,5.17,10.21,3.33,0.88,,0.34,100.0,41.0,,50.0,435.0,139.0,227.0,,54.8,46.0,8.07,4.01,2.45,,7.6,,1.25,22.9,,0.45,23.44,32.1,,7.08,16.82,25.0,8.81,,509.0,1.64,1.44,1.61,,,0.46,,37.04,3.02,213.0,47.96333335,1.738333335,15.28833335,3.680833335,6.975,10.28705064,0.173166665,7.475,10.05333335,2.664166665,0.836666665,0.364916665,11.72288187,69.78198278,0.0,44.52683135,,3757.091436,3579.105579,29.10932443,4.147243055,57.46439687,7.035129323,63.33437712,,,,,,-1331.251023,3579.105579,,3786.072078,44.93090759,,,4454.85898,90.79917341
SRR5211068,SRS1945965,SAMN06267294,SRA,56.0,36.53,25.49,2SBTROV12_ACTIVE470,97733060.0,Illumina HiSeq 2500,fluid,0.4154071819,Mediterranean_Sea,Aegean_Sea,Aegean_sea,Kolumbo volcano,chimney V59,vent,deep_vent,deep_vent,plate margin,convergent,oceanic_subduction,,oxidized,subaerial,subaerial_saltwater,3149154.0,submarine continental crust,igneous,basalt,253452.0,Kolumbo Submarine Volcano,36.5166667,25.4916667,1.35104517,"Galena,Baryte,Gypsum,Orpiment,Pyrite,Realgar,Sphalerite",-505.0,,,,,,,,,,,,7.1,,,,,,,,,,1740.0,200.0,300.0,200.0,,,,,,,,,535.0,1660.0,10.0,241000.0,,9.83,2.67,1.7,10000.0,100.0,400.0,23.9,0.01,0.074,1.39,0.886,18.3,,,0.002,0.091,0.1,10000.0,1.0,0.04,0.02,43.4,0.01,10.0,890.0,0.082,0.338,0.045,0.14,Publication,https://doi.org/10.1002/2016GC006398,whole_rock,ANDESITE,NA007-115,36.518321,25.480971,99.998,60.15,0.84,17.66,,6.23,6.23,0.15,2.5,6.33,3.82,2.1,0.042,0.176,13.6,12.57,0.38,1.69,124.7,,357.4,1.37,34.08,1.11,3.9,2.42,1.18,17.81,3.82,,0.82,16.55,9.65,0.377,9.76,17.17,10.0,4.2,35.5,20.89,3.81,,538.6,0.614,0.628,5.0,4122.0,0.48,1.37,0.15,24.22,2.47,151.1,47.96333335,1.738333335,15.28833335,3.680833335,6.975,10.28705064,0.173166665,7.475,10.05333335,2.664166665,0.836666665,0.364916665,23.63277478,3577.372702,0.0,43.22336096,,250.5244723,1009.149592,944.1369686,16.19213858,60.72357939,1.748608246,,hel,-107.1049576,28.20862198,1.022092462,226.6505127,-197.105075,1936.040195,4.253800541,598.7207566,28.57609668,1.0,-18.04494095,107.9804145,
SRR5214705,SRS1946334,SAMN06266162,SRA,4.0,-22.53,30.68,Sagole hot spring metaG,46609103.0,Illumina HiSeq 2500,fluid,0.1773359213,Africa,South_Africa,South_Africa,Sagole Hot Spring,Sagole Hot Spring,spring,hot_spring,hot_spring,intraplate,hotspot,oceanic hotspot,,mild_reduced,aerial,aerial,3189847.0,mafic,igneous,basalt,54251.0,Pafuri Nickel Deposit,-22.333333,31.0,40.2324405,"Annabergite,Calcite,Gaspeite,Glaukosphaerite,Hellyerite,Millerite,Nepouite,Otwayite,Polydymite,Sphalerite,Tetradymite,Violarite,Zaratite",841.0,45.0,2.058,9.7,,,,,,,,,,1.01,47.85,18.2,,0.15383,0.0,,,0.0,65.15,1.1,0.07,1.31,,,,,,,,,0.00131,0.00211,3.0,,0.0064,0.00159,0.0,0.02199,0.00617,,,0.02576,5e-05,,0.008,,,,,,,0.04077,0.00294,,,,0.07495,,0.03024,,0.00112,0.00328,,,EarthChem,Z4,whole_rock,"IGNEOUS,VOLCANIC,PICRITE",Z4,-22.0502,29.6502,96.5437504,48.76,3.18,8.18,11.84,,10.6537504,0.14,14.16,7.29,1.38,2.31,,0.49,,63.3,,693.8,241.5,,1051.035258,,132.7896946,960.2,6.055328837,2.490270685,3.609593544,,11.03735472,,0.9708715517,72.40712528,,0.2356664508,15.25337186,71.3085856,7.357989061,17.4949866,31.18219716,29.1,13.39773051,,1068.107158,1.73019999,1.181672408,4.648010441,,,0.9248516463,,24.15302775,1.813332722,399.1855661,47.96333335,1.738333335,15.28833335,3.680833335,6.975,10.28705064,0.173166665,7.475,10.05333335,2.664166665,0.836666665,0.364916665,42.05838334,,126.906,402.4823723,,5833.687871,2331.802191,1751.452646,1508.967915,53.45601058,3.001393399,,,,,,,461.899168,2331.802191,,14.92789138,294.1463408,,,423.7236597,
SRR5214706,SRS1946335,SAMN06264664,SRA,5.0,-22.61,30.17,Tshipise hot spring metaG,55773143.0,Illumina HiSeq 2500,fluid,0.4540295434,Africa,South_Africa,South_Africa,Tshipise Hot Spring,Tshipise Hot Spring,spring,hot_spring,hot_spring,intraplate,hotspot,oceanic hotspot,,mild_reduced,aerial,aerial,3189847.0,mafic,igneous,basalt,57024.0,Barend Farm,-22.566667,29.9166667,28.476514,"Corundum,Fluorapatite,Quartz",416.0,58.0,4.487,8.85,,,,,,,,,,5.63,168.97,53.17,,,0.61,,,0.0,156.31,4.25,0.17,5.58,,,,,,,,,,1.0,,,0.1,,0.15,,5.0,,,,,,0.1,,,,,,,,0.08,0.02,,,,,,,,,,,EarthChem,Z4,whole_rock,"IGNEOUS,VOLCANIC,PICRITE",Z4,-22.0502,29.6502,96.5437504,48.76,3.18,8.18,11.84,,10.6537504,0.14,14.16,7.29,1.38,2.31,,0.49,,63.3,,693.8,241.5,,1051.035258,,132.7896946,960.2,6.055328837,2.490270685,3.609593544,,11.03735472,,0.9708715517,72.40712528,,0.2356664508,15.25337186,71.3085856,7.357989061,17.4949866,31.18219716,29.1,13.39773051,,1068.107158,1.73019999,1.181672408,4.648010441,,,0.9248516463,,24.15302775,1.813332722,399.1855661,47.96333335,1.738333335,15.28833335,3.680833335,6.975,10.28705064,0.173166665,7.475,10.05333335,2.664166665,0.836666665,0.364916665,41.78029704,,43.9057,432.3978791,,5796.950361,2347.793125,1797.721035,1530.43878,53.49204121,3.01801975,,,,,,,538.00596,2347.793125,,15.95093002,347.0086975,,,452.9923543,
