run,date,latitude,longitude,elevation,temp,ph,spc,orp,do_sat,sal,alk_tot,sio2,sulfide,fe2,cl,br,no3,so4,po4,li,na,nh4,k,mg,ca,v,mn,fe,co,ni,cu,zn,se,mo,w,DIC,sample_accession,project,country,depth_m,scientific_name,env_biome,env_feature,env_material,sample_group,doi,source,sample_subgroup,surface_subsurface,ExpID
ERR15362291,2021,24.5639,118.0327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA118769651,PRJEB91364,China,0.0,soil metagenome,dense settlement,urban,soil,soil,10.1002/jev2.12292,public_archives,terrestrial_soil,surface,public_archives
SRR5916339,2013-10-16,-30.1919,120.6425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN04874602,PRJNA317932,Australia,0.0,soil metagenome,,,,soil,10.1186/s13742-016-0126-5,public_archives,terrestrial_soil,surface,public_archives
SRR12418378,2019-01-29,-23.9778,133.7125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN15772028,PRJNA656125,Australia,15.0,soil metagenome,Dryland [ENVO:01001838],,soil [ENVO:00001998],soil,10.1038/s41564-020-00811-w,public_archives,terrestrial_soil,surface,public_archives
ERR1877712,2014/2015,33.39624,-5.19417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA103892585,PRJEB18701,Morocco,,,,,,soil,10.1038/s41586-018-0386-6,public_archives,terrestrial_soil,surface,public_archives
SRR18218239,2016-04,30.82,32.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN26293021,PRJNA810925,Egypt,,,,,desert,soil,10.1186/s40793-023-00463-3,public_archives,terrestrial_soil,surface,public_archives
SRR32467810,2020-07-01,54.53,82.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN46927921,PRJNA1226397,Russia,,,,,black soil,soil,10.3390/microorganisms13040854,public_archives,terrestrial_soil,surface,public_archives
SRR34018561,2015,-3.3129,-54.9097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN41657026,PRJNA1112097,Amazon,,,,,Pasture,soil,10.1128/spectrum.01561-24,public_archives,terrestrial_soil,surface,public_archives
ERR14789962,2023-05-03,-25.4576,153.1296,67.0,22.95,6.14,0.1836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERS23657663,PRJEB86002,Australia,2.0,lake water metagenome,freshwater biome,aeolian lake,lake water,freshwater,10.1038/s41564-025-02091-8,public_archives,freshwater_surface,surface,public_archives
SRR28154547,2017-11-14,-12.771,45.2887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN40029281,PRJNA1037317,Mayotte,,lake water metagenome,,,,freshwater,10.1186/s40168-024-01956-0,public_archives,freshwater_surface,surface,public_archives
SRR29270166,2022-07-12,-0.7586,36.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN41659717,PRJNA1119566,Kenya,0.0,freshwater metagenome,crater lake [ENVO:01001062],Lake [ENVO:00000020],water [ENVO:00002006],freshwater,10.1128/aem.01507-24,public_archives,freshwater_surface,surface,public_archives
SRR9924777,2017-07,34.22,92.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN12530072,PRJNA559231,China,,freshwater metagenome,,,,freshwater,10.1038/s41396-020-0701-8,public_archives,freshwater_surface,surface,public_archives
SRR9924779,2017-07,33.01,97.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN12530074,PRJNA559231,China,,freshwater metagenome,,,,freshwater,10.1038/s41396-020-0701-8,public_archives,freshwater_surface,surface,public_archives
SRR31704008,2016-06-17,30.7,90.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN45813904,PRJNA1197720,China: Tibet,,lake water metagenome,,,,freshwater,10.1093/ismeco/ycaf129,public_archives,freshwater_surface,surface,public_archives
SRR24908192,2018,30.7,96.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN35688709,PRJNA982183,China: Tibet,,lake water metagenome,,,,freshwater,10.1186/s40168-024-01979-7,public_archives,freshwater_surface,surface,public_archives
SRR24908171,2019,34.63,80.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN35688728,PRJNA982183,China: Tibet,,lake water metagenome,,,,freshwater,10.1186/s40168-024-01979-7,public_archives,freshwater_surface,surface,public_archives
SRR24908198,2018,29.52,98.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN35688703,PRJNA982183,China: Tibet,,lake water metagenome,,,,freshwater,10.1186/s40168-024-01979-7,public_archives,freshwater_surface,surface,public_archives
SRR30184006,2022-10-17,-1.0514,36.9608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN43089544,PRJNA1146306,"Kenya: Kiambu,Gatundu-South",0.0,soil metagenome,,,,soil,10.3389/fmicb.2025.1582271 ,public_archives,terrestrial_soil,surface,public_archives
SRR18218232,2016-04,31.09,33.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN26293016,PRJNA810925,Egypt: Sinai,0.0,soil metagenome,,,,soil,10.1186/s40793-023-00463-3,public_archives,terrestrial_soil,surface,public_archives
