ko,gene_name,gene_description,ec_1,ec_2,ec_3,ec_4,glycolysis,gluconeogenesis,ppp,prpp_biosynthesis,ed,tca,glyoxylate_cycle,malonate_semialdehyde_pathway,serine_biosynthesis,cysteine_biosynthesis,cbb,cam,c4,rtca,methane_oxidation,pyruvate_oxidation,sped,nped,formaldehyde_assimilation,methanogenesis_acetate_methanol,emcp,dchb,hphb,3hp,wl,acCoA_pathway,photorespiration,methanogenesis_methylamine_dimethylamine_trimethylamine,methanogenesis_CO2,pta_acka,ppp_archea,incomplete_rtca,rglyc,sped_2,methylaspartate_cycle,propanoylCoA_metabolism,methylcitrate_cycle,pathway,key_genes,trophic_mode,global_function,metabolism_sub_function,energy_metabolism_sub_function
K03950,NDUFA6,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism;Organismal Systems,Energy metabolism,Oxidative phosphorylation
K03952,NDUFA8,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism;Organismal Systems,Energy metabolism,Oxidative phosphorylation
K03953,NDUFA9,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism;Organismal Systems,Energy metabolism,Oxidative phosphorylation
K03955,NDUFAB1,"NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1, acyl-carrier protein",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism;Organismal Systems,Energy metabolism;Lipid metabolism,Oxidative phosphorylation
K03959,NDUFB3,NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism;Organismal Systems,Energy metabolism,Oxidative phosphorylation
K03963,NDUFB7,NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism;Organismal Systems,Energy metabolism,Oxidative phosphorylation
K03964,NDUFB8,NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism;Organismal Systems,Energy metabolism,Oxidative phosphorylation
K03965,NDUFB9,NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism;Organismal Systems,Energy metabolism,Oxidative phosphorylation
K03969,pspA,phage shock protein A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03970,pspB,phage shock protein B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03971,pspD,phage shock protein D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03972,pspE,phage shock protein E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03973,pspC,phage shock protein C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03974,pspF,psp operon transcriptional activator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03975,dedA,membrane-associated protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03976,ybaK,ebsC; Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03977,engA,der; GTPase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03978,engB,GTP-binding protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03979,obgE,"cgtA, MTG2; GTPase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03980,murJ,mviN; putative peptidoglycan lipid II flippase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03981,dsbC,thiol:disulfide interchange protein DsbC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K04013,nrfB,cytochrome c-type protein NrfB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K04014,nrfC,protein NrfC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K04015,nrfD,protein NrfD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K04016,nrfE,cytochrome c-type biogenesis protein NrfE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K04017,nrfF,formate-dependent nitrite reductase complex subunit NrfF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K04018,nrfG,formate-dependent nitrite reductase complex subunit NrfG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K04019,eutA,ethanolamine utilization protein EutA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Lipid metabolism,Other
K04020,eutD,phosphotransacetylase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Carbohydrate metabolism,Other
K04021,eutE,aldehyde dehydrogenase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Carbohydrate metabolism,Other
K04022,eutG,alcohol dehydrogenase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Carbohydrate metabolism,Other
K04023,eutH,ethanolamine transporter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K04024,eutJ,ethanolamine utilization protein EutJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K04025,eutK,ethanolamine utilization protein EutK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K04026,eutL,ethanolamine utilization protein EutL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K04027,eutM,ethanolamine utilization protein EutM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K04028,eutN,ethanolamine utilization protein EutN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K04029,eutP,ethanolamine utilization protein EutP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K04030,eutQ,ethanolamine utilization protein EutQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K04031,eutS,ethanolamine utilization protein EutS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K04032,eutT,ethanolamine utilization cobalamin adenosyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins,Other
K04033,eutR,"AraC family transcriptional regulator, ethanolamine operon transcriptional activator",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K04034,bchE,anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins,Other
