ko,gene_name,gene_description,ec_1,ec_2,ec_3,ec_4,glycolysis,gluconeogenesis,ppp,prpp_biosynthesis,ed,tca,glyoxylate_cycle,malonate_semialdehyde_pathway,serine_biosynthesis,cysteine_biosynthesis,cbb,cam,c4,rtca,methane_oxidation,pyruvate_oxidation,sped,nped,formaldehyde_assimilation,methanogenesis_acetate_methanol,emcp,dchb,hphb,3hp,wl,acCoA_pathway,photorespiration,methanogenesis_methylamine_dimethylamine_trimethylamine,methanogenesis_CO2,pta_acka,ppp_archea,incomplete_rtca,rglyc,sped_2,methylaspartate_cycle,propanoylCoA_metabolism,methylcitrate_cycle,pathway,key_genes,trophic_mode,global_function,metabolism_sub_function,energy_metabolism_sub_function
K00018,hprA,glycerate dehydrogenase,1.1.1.29,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Amino acid metabolism;Carbohydrate metabolism;Energy metabolism,Methane metabolism
K00023,phbB,acetoacetyl-CoA reductase,1.1.1.36,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K00024,mdh,malate dehydrogenase,1.1.1.37,,,,,,,,,1.0,1.0,,,,,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,1.0,dchb|rtca|other,,auto|hetero,Metabolism,Amino acid metabolism;Carbohydrate metabolism;Energy metabolism,Carbon fixation;Methane metabolism
K00025,MDH1,malate dehydrogenase,1.1.1.37,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism;Organismal Systems,Amino acid metabolism;Carbohydrate metabolism;Energy metabolism,Carbon fixation
K00026,MDH2,malate dehydrogenase,1.1.1.37,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Amino acid metabolism;Carbohydrate metabolism;Energy metabolism,Carbon fixation
K00027,ME2/sfcA/maeA,malate dehydrogenase (oxaloacetate-decarboxylating),1.1.1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Environmental Information Processing;Metabolism,Carbohydrate metabolism,Other
K00028,E1.1.1.39,malate dehydrogenase (decarboxylating),1.1.1.39,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K00029,maeB,malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+),1.1.1.40,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism;Organismal Systems,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K00030,IDH3,isocitrate dehydrogenase (NAD+),1.1.1.41,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K00031,IDH1/IDH2/icd,isocitrate dehydrogenase,1.1.1.42,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,rtca|other,,auto|hetero,Cellular Processes;Metabolism,Carbohydrate metabolism;Energy metabolism;Metabolism of other amino acids,Carbon fixation
K00033,PGD/gnd/gntZ,6-phosphogluconate dehydrogenase,1.1.1.44,1.1.1.343,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Metabolism of other amino acids,Other
K00034,gdh,glucose 1-dehydrogenase,1.1.1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K00036,G6PD/zwf,glucose-6-phosphate 1-dehydrogenase,1.1.1.49,1.1.1.363,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Metabolism of other amino acids,Other
K00043,gbd,4-hydroxybutyrate dehydrogenase,1.1.1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K00051,E1.1.1.82,malate dehydrogenase (NADP+),1.1.1.82,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K00058,serA/PHGDH,D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase,1.1.1.95,1.1.1.399,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Amino acid metabolism;Energy metabolism,Methane metabolism
K00074,paaH/hbd/fadB/mmgB,3-hydroxybutyryl-CoA dehydrogenase,1.1.1.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Amino acid metabolism;Carbohydrate metabolism;Xenobiotics biodegradation and metabolism,Other
K00116,mqo,malate dehydrogenase (quinone),1.1.5.4,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K00121,frmA/ADH5/adhC,S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase,1.1.1.284,1.1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Amino acid metabolism;Carbohydrate metabolism;Energy metabolism;Lipid metabolism;Metabolism of cofactors and vitamins;Xenobiotics biodegradation and metabolism,Methane metabolism
K00122,FDH,formate dehydrogenase,1.17.1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Methane metabolism
K00123,fdoG/fdhF/fdwA,formate dehydrogenase major subunit,1.17.1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Methane metabolism
K00124,fdoH/fdsB,formate dehydrogenase iron-sulfur subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Methane metabolism
K00125,fdhB,formate dehydrogenase (coenzyme F420) beta subunit,1.17.98.3,1.8.98.6,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K00126,fdsD,formate dehydrogenase subunit delta,1.17.1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Methane metabolism
K00127,fdoI/fdsG,formate dehydrogenase subunit gamma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Methane metabolism
K00131,gapN,glyceraldehyde-3-phosphate dehydrogenase (NADP+),1.2.1.9,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism,Other
K00134,GAPDH/gapA,glyceraldehyde 3-phosphate dehydrogenase (phosphorylating),1.2.1.12,,,,1.0,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,cbb|other,,auto|hetero,Environmental Information Processing;Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K00140,mmsA/iolA/ALDH6A1,malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Amino acid metabolism;Carbohydrate metabolism;Metabolism of other amino acids,Other
K00148,fdhA,glutathione-independent formaldehyde dehydrogenase,1.2.1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Energy metabolism;Xenobiotics biodegradation and metabolism,Methane metabolism
K00150,gap2/gapB,glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating),1.2.1.59,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,cbb|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K00161,PDHA/pdhA,pyruvate dehydrogenase E1 component subunit alpha,1.2.4.1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Environmental Information Processing;Metabolism;Organismal Systems,Carbohydrate metabolism;Metabolism of cofactors and vitamins,Other
K00162,PDHB/pdhB,pyruvate dehydrogenase E1 component subunit beta,1.2.4.1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Environmental Information Processing;Metabolism;Organismal Systems,Carbohydrate metabolism;Metabolism of cofactors and vitamins,Other
K00163,aceE,pyruvate dehydrogenase E1 component,1.2.4.1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Metabolism of cofactors and vitamins,Other
K00164,OGDH/sucA,2-oxoglutarate dehydrogenase E1 component,1.2.4.2,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Metabolism of cofactors and vitamins,Other
K00169,porA,pyruvate ferredoxin oxidoreductase alpha subunit,1.2.7.1,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,dchb|rtca|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism;Xenobiotics biodegradation and metabolism,Carbon fixation;Methane metabolism
K00170,porB,pyruvate ferredoxin oxidoreductase beta subunit,1.2.7.1,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,dchb|rtca|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism;Xenobiotics biodegradation and metabolism,Carbon fixation;Methane metabolism
K00171,porD,pyruvate ferredoxin oxidoreductase delta subunit,1.2.7.1,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,dchb|rtca|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism;Xenobiotics biodegradation and metabolism,Carbon fixation;Methane metabolism
K00172,porC/porG,pyruvate ferredoxin oxidoreductase gamma subunit,1.2.7.1,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,dchb|rtca|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism;Xenobiotics biodegradation and metabolism,Carbon fixation;Methane metabolism
K00174,korA/oorA/oforA,2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha,1.2.7.3,1.2.7.11,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,rtca|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K00175,korB/oorB/oforB,2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta,1.2.7.3,1.2.7.11,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,rtca|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K00176,korD/oorD,2-oxoglutarate ferredoxin oxidoreductase subunit delta,1.2.7.3,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,rtca|other|cfp,rtca_1|rtca_4|rtca_wl,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K00177,korC/oorC,2-oxoglutarate ferredoxin oxidoreductase subunit gamma,1.2.7.3,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,rtca|other|cfp,rtca_1|rtca_4|rtca_wl,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K00189,vorG/porG,2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit,1.2.7.7,1.2.7.1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Amino acid metabolism;Carbohydrate metabolism;Energy metabolism;Xenobiotics biodegradation and metabolism,Carbon fixation;Methane metabolism
K00192,cdhA,anaerobic carbon-monoxide dehydrogenase/CODH/ACS complex subunit alpha,1.2.7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,other|wl?|cfp,wl_1|wl_3|rtca_wl,auto|hetero,Metabolism,Energy metabolism,Methane metabolism
K00193,cdhC,acetyl-CoA decarbonylase/synthase/CODH/ACS complex subunit beta,2.3.1.169,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,other|wl?|cfp,wl_1|wl_3|rtca_wl,auto|hetero,Metabolism,Energy metabolism,Methane metabolism
K00194,cdhD/acsD,acetyl-CoA decarbonylase/synthase/CODH/ACS complex subunit delta,2.1.1.245,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,wl|other|cfp,wl_1|wl_3|rtca_wl,auto|hetero,Metabolism,Energy metabolism,Carbon fixation;Methane metabolism
K00195,cdhB,anaerobic carbon-monoxide dehydrogenase/CODH/ACS complex subunit epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,other|wl?|cfp,wl_1|wl_3|rtca_wl,auto|hetero,Metabolism,Energy metabolism,Methane metabolism
K00196,cooF,anaerobic carbon-monoxide dehydrogenase iron sulfur subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Energy metabolism;Xenobiotics biodegradation and metabolism,Carbon fixation;Methane metabolism
K00197,cdhE/acsC,acetyl-CoA decarbonylase/synthase/CODH/ACS complex subunit gamma,2.1.1.245,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,wl|other|cfp,wl_1|wl_3|rtca_wl,auto|hetero,Metabolism,Energy metabolism,Carbon fixation;Methane metabolism
K00198,cooS/acsA,anaerobic carbon-monoxide dehydrogenase catalytic subunit,1.2.7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,wl|cfp,wl_1|wl_2|wl_3|rtca_wl,auto,Metabolism,Energy metabolism;Xenobiotics biodegradation and metabolism,Carbon fixation;Methane metabolism
K00200,fwdA/fmdA,formylmethanofuran dehydrogenase subunit A,1.2.7.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K00201,fwdB/fmdB,formylmethanofuran dehydrogenase subunit B,1.2.7.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K00202,fwdC/fmdC,formylmethanofuran dehydrogenase subunit C,1.2.7.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K00203,fwdD/fmdD,formylmethanofuran dehydrogenase subunit D,1.2.7.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K00204,fwdH,4Fe-4S ferredoxin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K00205,fwdF/fmdF,4Fe-4S ferredoxin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K00209,fabV/ter,enoyl-[acyl-carrier protein reductase / trans-2-enoyl-CoA reductase (NAD+),1.3.1.9 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Lipid metabolism,Other
K00232,E1.3.3.6/ACOX1/ACOX3,acyl-CoA oxidase,1.3.3.6,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Cellular Processes;Environmental Information Processing;Metabolism;Organismal Systems,Carbohydrate metabolism;Lipid metabolism;Metabolism of other amino acids,Other
K00234,SDHA/SDH1,succinate dehydrogenase (ubiquinone) flavoprotein subunit,1.3.5.1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism;Organismal Systems,Carbohydrate metabolism;Energy metabolism,Oxidative phosphorylation
K00235,SDHB/SDH2,succinate dehydrogenase (ubiquinone) iron-sulfur subunit,1.3.5.1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism;Organismal Systems,Carbohydrate metabolism;Energy metabolism,Oxidative phosphorylation
K00236,SDHC/SDH3,succinate dehydrogenase (ubiquinone) cytochrome b560 subunit,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism;Organismal Systems,Carbohydrate metabolism;Energy metabolism,Oxidative phosphorylation
K00237,SDHD/SDH4,succinate dehydrogenase (ubiquinone) membrane anchor subunit,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism;Organismal Systems,Carbohydrate metabolism;Energy metabolism,Oxidative phosphorylation
K00239,sdhA/frdA,succinate dehydrogenase flavoprotein subunit,1.3.5.1,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,3hp|dchb|rtca|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation;Oxidative phosphorylation
K00240,sdhB/frdB,succinate dehydrogenase iron-sulfur subunit,1.3.5.1,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,3hp|dchb|rtca|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation;Oxidative phosphorylation
K00241,sdhC/frdC,succinate dehydrogenase cytochrome b subunit,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,3hp|dchb|rtca|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation;Oxidative phosphorylation
K00242,sdhD/frdD,succinate dehydrogenase membrane anchor subunit,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,rtca|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation;Oxidative phosphorylation
K00244,frdA,succinate dehydrogenase flavoprotein subunit,1.3.5.1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,other,,hetero,Environmental Information Processing;Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation;Oxidative phosphorylation
K00245,frdB,succinate dehydrogenase iron-sulfur subunit,1.3.5.1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,other,,hetero,Environmental Information Processing;Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation;Oxidative phosphorylation
K00246,frdC,succinate dehydrogenase subunit C,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,other,,hetero,Environmental Information Processing;Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation;Oxidative phosphorylation
K00247,frdD,succinate dehydrogenase subunit D,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,other,,hetero,Environmental Information Processing;Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation;Oxidative phosphorylation
K00248,ACADS/bcd,butyryl-CoA dehydrogenase,1.3.8.1,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Amino acid metabolism;Carbohydrate metabolism;Lipid metabolism;Metabolism of other amino acids,Other
K00261,GLUD1_2/gdhA,glutamate dehydrogenase (NAD(P)+),1.4.1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,other,,hetero,Cellular Processes;Metabolism;Organismal Systems,Amino acid metabolism;Energy metabolism,Nitrogen metabolism
K00281,GLDC/gcvP,glycine cleavage system P protein (glycine dehydrogenase),1.4.4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,rglyc|other,,auto|hetero,Metabolism,Amino acid metabolism;Carbohydrate metabolism;Metabolism of cofactors and vitamins,Other
K00282,gcvPA,glycine cleavage system P protein (glycine dehydrogenase) subunit 1,1.4.4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,rglyc,,auto,Metabolism,Amino acid metabolism;Carbohydrate metabolism;Metabolism of cofactors and vitamins,Other
K00283,gcvPB,glycine cleavage system P protein (glycine dehydrogenase) subunit 2,1.4.4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,rglyc,,auto,Metabolism,Amino acid metabolism;Carbohydrate metabolism;Metabolism of cofactors and vitamins,Other
K00297,metF/MTHFR,methylenetetrahydrofolate reductase (NADH),1.5.1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,wl,wl_2|wl_3,auto,Metabolism,Energy metabolism;Metabolism of cofactors and vitamins,Carbon fixation
K00317,dmd-tmd,dimethylamine/trimethylamine dehydrogenase,1.5.8.1,1.5.8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K00319,mtd,methylenetetrahydromethanopterin dehydrogenase,1.5.98.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K00320,mer,"5,10-methylenetetrahydromethanopterin reductase",1.5.98.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K00382,DLD/lpd/pdhD,dihydrolipoyl dehydrogenase,1.8.1.4,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,rglyc|other,,auto|hetero,Metabolism,Amino acid metabolism;Carbohydrate metabolism;Metabolism of cofactors and vitamins,Other
K00399,mcrA,methyl-coenzyme M reductase alpha subunit,2.8.4.1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K00401,mcrB,methyl-coenzyme M reductase beta subunit,2.8.4.1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K00402,mcrG,methyl-coenzyme M reductase gamma subunit,2.8.4.1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K00577,mtrA,tetrahydromethanopterin S-methyltransferase subunit A,7.2.1.4,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K00578,mtrB,tetrahydromethanopterin S-methyltransferase subunit B,7.2.1.4,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K00579,mtrC,tetrahydromethanopterin S-methyltransferase subunit C,7.2.1.4,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K00580,mtrD,tetrahydromethanopterin S-methyltransferase subunit D,7.2.1.4,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K00581,mtrE,tetrahydromethanopterin S-methyltransferase subunit E,7.2.1.4,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K00582,mtrF,tetrahydromethanopterin S-methyltransferase subunit F,7.2.1.4,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K00583,mtrG,tetrahydromethanopterin S-methyltransferase subunit G,7.2.1.4,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K00584,mtrH,tetrahydromethanopterin S-methyltransferase subunit H,7.2.1.4,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,other,,hetero,Metabolism,Energy metabolism,Methane metabolism
K00600,glyA/SHMT,glycine hydroxymethyltransferase,2.1.2.1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,other,,hetero,Metabolism;Organismal Systems,Amino acid metabolism;Carbohydrate metabolism;Energy metabolism;Metabolism of cofactors and vitamins;Metabolism of other amino acids,Methane metabolism
K00605,gcvT/AMT,glycine cleavage system T protein (aminomethyltransferase),2.1.2.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,rglyc|other,,auto|hetero,Metabolism,Amino acid metabolism;Carbohydrate metabolism;Metabolism of cofactors and vitamins,Other
K00615,E2.2.1.1/tktA/tktB,transketolase,2.2.1.1,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,cbb|other,,auto|hetero,Metabolism,Carbohydrate metabolism;Energy metabolism;Metabolism of terpenoids and polyketides,Carbon fixation
K00616,TALDO1/talB/talA,transaldolase,2.2.1.2,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Energy metabolism,Carbon fixation
K00625,pta,phosphate acetyltransferase,2.3.1.8,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Energy metabolism;Metabolism of other amino acids,Carbon fixation;Methane metabolism
K00626,ACAT/atoB,acetyl-CoA C-acetyltransferase,2.3.1.9,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,dchb|hphb|other,,auto|hetero,Environmental Information Processing;Metabolism;Organismal Systems,Amino acid metabolism;Carbohydrate metabolism;Energy metabolism;Lipid metabolism;Metabolism of terpenoids and polyketides;Xenobiotics biodegradation and metabolism,Carbon fixation
K00627,DLAT/aceF/pdhC,pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Metabolism,Carbohydrate metabolism;Metabolism of cofactors and vitamins,Other
K00640,cysE,serine O-acetyltransferase,2.3.1.30,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,hetero,Cellular Processes;Metabolism,Amino acid metabolism;Energy metabolism;Glycan biosynthesis and metabolism,Sulfur metabolism
