ko,gene_name,gene_description,ec_1,ec_2,ec_3,ec_4,glycolysis,gluconeogenesis,ppp,prpp_biosynthesis,ed,tca,glyoxylate_cycle,malonate_semialdehyde_pathway,serine_biosynthesis,cysteine_biosynthesis,cbb,cam,c4,rtca,methane_oxidation,pyruvate_oxidation,sped,nped,formaldehyde_assimilation,methanogenesis_acetate_methanol,emcp,dchb,hphb,3hp,wl,acCoA_pathway,photorespiration,methanogenesis_methylamine_dimethylamine_trimethylamine,methanogenesis_CO2,pta_acka,ppp_archea,incomplete_rtca,rglyc,sped_2,methylaspartate_cycle,propanoylCoA_metabolism,methylcitrate_cycle,pathway,key_genes
K00018,hprA,glycerate dehydrogenase,1.1.1.29,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,other,
K00023,phbB,acetoacetyl-CoA reductase,1.1.1.36,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,other,
K00024,mdh,malate dehydrogenase,1.1.1.37,,,,,,,,,1.0,1.0,,,,,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,1.0,dchb|rtca|other,
K00025,MDH1,malate dehydrogenase,1.1.1.37,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00026,MDH2,malate dehydrogenase,1.1.1.37,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00027,ME2/sfcA/maeA,malate dehydrogenase (oxaloacetate-decarboxylating),1.1.1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00028,E1.1.1.39,malate dehydrogenase (decarboxylating),1.1.1.39,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00029,maeB,malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+),1.1.1.40,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00030,IDH3,isocitrate dehydrogenase (NAD+),1.1.1.41,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00031,IDH1/IDH2/icd,isocitrate dehydrogenase,1.1.1.42,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,rtca|other,
